datetime_start,datetime_end,badwords,texts,screenshots
2025-06-25 14:55:07,2025-06-25 14:55:21,"fuck, fuckyou, ควาย","fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย | fuckyou
fuck
fluck

ค ว า ย
ค ว า ย

ค ! ว า ย","logs\screenshot_20250625_145509.png, logs\screenshot_20250625_145511.png, logs\screenshot_20250625_145513.png, logs\screenshot_20250625_145515.png, logs\screenshot_20250625_145517.png, logs\screenshot_20250625_145519.png, logs\screenshot_20250625_145521.png"
2025-06-25 14:57:11,2025-06-25 14:57:41,"cum, nig","Part
2:56 KD_LOLI: bro said are we outdoor boys
2:56 [BJ SradyFU: map changes every day
2:56 parm me hartiest
Welcome to the chat room!

New
(i eradyFu: map changes every single day
WO Rashton_: 772
@ 24chimcken: 9g
@ sawwsee: thats poison
[i vocabs: bro got farted on

@ 24chimcken: holy poison

2 @ Prod_and_Shanks_ viewer: ""this game
too easy""-jay won

jj thatess: ragebait

(i eradyFU: map changes daily

i | map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nigntot: soto

KD LOLI: to rise | 2:56 KD_LOLT: bro said are we outdoor boys
2:56 [JJ SradyFU: map changes every day

256 เท า ร me harti

‘Welcome to the chat room!

New
[ไพ ิ eradyFu: map changes every single day
WO Rashton_: 272

@ 24chimcken: 9g

@ sawwsee: thats poison

เพ ไฟ ง ๐ ๐ ล ๒ ร ะ bro got farted on
@ 24chimcken: holy poison

@ Prod_and_Shanks_viewer. ""this game
too easy""-jay won

bates: ragebait

(i eradyFu: map changes daily

i | : map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nigntbot: soto

KD LOLI: to rise

PE bahtey: holy ท ๐ ๐ ๒ | 2:56 เก ก me ท ร
Welcome to the chat room!

New
(i eradyFU: map changes every single day
WO Rashton_: 272

@ 24chimcken: 9g

@ 22 พละ

i& ไฟ ง ๐ ๐ ล ๒ ร ะ bro got farted on

hats poison

@ 24chimcken: holy poison
2 @ Prod_and_Shanks_ viewer: ""this game

too easy""-jay won

bates: ragebait
(i eradyFUu: map changes daily

i | map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nignthot: soto

KD LOLI: to rise

[Ei bahtey: holy ท ๐ ๐ ๒

iA, 54 เท อ ย ล 1 มะ map changes once a month

น ้ ท อ ก x | New
(i eradyFU: map changes every single day
WO Rashton_: 272

@ 24chimcken: 9g

@ sawwsee: thats poison

เพ ไฟ ง ๐ ๐ ล ๒ ร ะ bro got farted on

@ 24chimcken: holy poison

9 @ Prod_and_Shanks_ viewer: “this game

is too easy""-jay won

bates: ragebait

(i eradyFUu: map changes daily

i | map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nignthot: soto

KD LOLI: to rise

[Ei bahtey: holy ท ๐ ๐ ๒

i@& 64 mega_1x: map changes once a month
@ migoizzz: iparty

MB amok_:i think you're cooked now

yython x | i& ๐ ๐ ล ๒ ร ะ bro got farted on

@ 24chimcken: holy poison

bates: ragebait
(@ BradyFUu: map changes daily

[| map changes once a week
KD_LOLI: its take a hot minute for the fog
&} jenuice: climbeable

@ migoizzz:
# BB Nigntiot: solo
KD LOLI: to rise

[i bahtey: holy ท ๐ ๐ ๒

i& © เท อ ย ล 1 ม: map changes once a month

ใน อ

@ ท า โข ๐ !222: ! ต ล
@amok_: i think you're cooked now
i [Bi Vocabs: does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

id; InsoSZN: hella poisoned

ญี thatess: what??? | @ 24chimcken: holy poison
2 @ Prod_and_Shanks_ viewer: ""this game

is too easy""-jay won

batess: ragebait

(i eradyFUu: map changes daily

i | map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nignthot: soto

KD LOLI: to rise

[Ei bahtey: holy ท ๐ ๐ ๒

i@& 64 mega_1x: map changes once a month
@ migoizzz: iparty

(amok _:i think you're cooked now

เพ ไฟ ง ๐ ๐ ล ๒ ร ะ does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

i@ InsoSZN: hella poisoned

batess: what???

MB eradyFu: map changes ery dayu

yython OX | 39 @ Prod_and_Shanks_viewer. ""this game
too easy""-jay won

Bj thatess: ragebait

(i eradyFUu: map changes daily

i | map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nignthot: soto

KD LOLI: to rise

[Ei bahtey: holy ท ๐ ๐ ๒

i@& 64 mega_1x: map changes once a month
@ migoizzz: iparty

(amok _:i think you're cooked now

เพ ไฟ ง ๐ ๐ ล ๒ ร ะ does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

i@ InsoSZN: hella poisoned

batess: what???
(i SradyFU: map changes ery dayu
€% jenuice: CUMB THE TREE

yython OX | i | : map changes once a week
KD_LOLI: its take a hot minute for the fog
€ jenuice: climbeable

@ migoizzz: duo

BB Nigntbot: soto

KD LOLI: to rise

[Ei bahkey: holy noob

เม © เท อ ย อ ไม ะ

ap changes once a month
@ ท า โข ๐ 1222: party
(amok : 1 think you're cooked now

[i vocabs: does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

เพ InsoSZN: hella poisoned

(i eradyFU: map changes ery dayu
5 jenuice: CLIMB THE TREE

 greytorade: no no fate stay night isnt
beating solo levelling

@ koolerz: looking not doable anymore

yython OX | KD_LOL1: its take ล hot minute for the fog

; jenuice: climbeable

@ migoizzz: duo

BB Nigntbot: soto

KD LOLI: to rise

[Ei bahkey: holy noob

i& 5 mega_1x: map changes once a month
@ ท า โข ๐ 1222: party

(amok : 1 think you're cooked now

[i vocabs: does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

เพ InsoSZN: hella poisoned

bates: what???

(i eradyFU: map changes ery dayu
5 jenuice: CLIMB THE TREE

batess: New poll lock in

 greytorade: no no fate stay night isnt
beating solo levelling

@ koolerz: looking not doable anymore
34 JayBird_SD: half of meter is poison อ 7

2 ด greytorade: no no | @ migoizzz: duo

BB Nigntot: soto

KD LOLI: to rise

[Ei bahkey: holy ท ๐ ๐ ๒

เฟ 5 เท อ ย 1 ม: map changes once a month
@ ท า โข ๐ 1222: ! ต อ ก

(amok : 1 think you're cooked now

[i Vocabs: does this poison ever go away

@ sawwsee: if your bar is full purple maybe น
tum into thanos

เฟ InsoSZN: hella poisoned

(i eradyFU: map changes ery dayu
% jenuice: CUMB THE TREE

WW greytorade: no no fate stay night isnt
beating solo levelling

@ koolerz: looking not doable anymore

34 JayBir

_SD: half of meter is poison o7
ด greytorade: nono

&] jenuice: climb tthe tree dawg

yython x","logs\screenshot_20250625_145716.png, logs\screenshot_20250625_145718.png, logs\screenshot_20250625_145721.png, logs\screenshot_20250625_145724.png, logs\screenshot_20250625_145727.png, logs\screenshot_20250625_145730.png, logs\screenshot_20250625_145733.png, logs\screenshot_20250625_145736.png, logs\screenshot_20250625_145738.png, logs\screenshot_20250625_145741.png"
